VGS	VDS	fetCharTestingSmartSim0..IDS.i[0, ::]
-1.19999999999999996E0	1.00000000000000000E-1	1.42487119308311172E-4
-1.19999999999999996E0	1.50000000000000022E-1	2.12516080332673685E-4
-1.19999999999999996E0	2.00000000000000000E-1	2.81320445429894717E-4
-1.19999999999999996E0	2.50000000000000000E-1	3.48617369826498891E-4
-1.19999999999999996E0	3.00000000000000000E-1	4.14151721345369417E-4
-1.19999999999999996E0	3.50000000000000000E-1	4.77699179831328191E-4
-1.19999999999999996E0	3.99999999999999956E-1	5.39068311804183242E-4
-1.19999999999999996E0	4.50000000000000000E-1	5.98101628376028849E-4
-1.19999999999999996E0	4.99999999999999911E-1	6.54675681987871805E-4
-1.19999999999999996E0	5.49999999999999911E-1	7.08700296320754042E-4
-1.19999999999999996E0	6.00000000000000000E-1	7.60117052136895399E-4
-1.19999999999999996E0	6.50000000000000000E-1	8.08897169274229277E-4
-1.19999999999999996E0	7.00000000000000089E-1	8.55038932032475074E-4
-1.19999999999999996E0	7.50000000000000089E-1	8.98564803018619962E-4
-1.19999999999999996E0	8.00000000000000178E-1	9.39518360935628749E-4
-1.19999999999999996E0	8.50000000000000178E-1	9.77961182818648567E-4
-1.19999999999999996E0	9.00000000000000178E-1	1.01396977285659107E-3
-1.19999999999999996E0	9.50000000000000355E-1	1.04763262002052859E-3
-1.19999999999999996E0	1.00000000000000022E0	1.07904744678295494E-3
-1.19999999999999996E0	1.05000000000000027E0	1.10831869243122960E-3
-1.19999999999999996E0	1.10000000000000031E0	1.13555525766476784E-3
-1.19999999999999996E0	1.15000000000000036E0	1.16086852279599895E-3
-1.19999999999999996E0	1.20000000000000040E0	1.18437064014304605E-3
-1.19999999999999996E0	1.25000000000000044E0	1.20617309208327295E-3
-1.19999999999999996E0	1.30000000000000049E0	1.22638549955098375E-3
-1.19999999999999996E0	1.35000000000000053E0	1.24511466122682446E-3
-1.19999999999999996E0	1.40000000000000058E0	1.26246380095761435E-3
-1.19999999999999996E0	1.45000000000000062E0	1.27853199971392373E-3
-1.19999999999999996E0	1.50000000000000067E0	1.29341378831680709E-3
-1.19999999999999996E0	1.55000000000000071E0	1.30719887794186396E-3
-1.19999999999999996E0	1.60000000000000075E0	1.31997200678334314E-3
-1.19999999999999996E0	1.65000000000000080E0	1.33181288301703282E-3
-1.19999999999999996E0	1.70000000000000084E0	1.34279620616810691E-3
-1.19999999999999996E0	1.75000000000000089E0	1.35299175103408609E-3
-1.19999999999999996E0	1.80000000000000093E0	1.36246450033851141E-3
-1.19999999999999996E0	1.85000000000000098E0	1.37127481422640751E-3
-1.19999999999999996E0	1.90000000000000102E0	1.37947862651591557E-3
-1.19999999999999996E0	1.95000000000000107E0	1.38712765926090476E-3
-1.19999999999999996E0	2.00000000000000089E0	1.39426964865051506E-3
-1.19999999999999996E0	2.05000000000000071E0	1.40094857656510019E-3
-1.19999999999999996E0	2.10000000000000053E0	1.40720490323457126E-3
-1.19999999999999996E0	2.15000000000000036E0	1.41307579741168343E-3
-1.19999999999999996E0	2.20000000000000018E0	1.41859536129319230E-3
-1.19999999999999996E0	2.25000000000000000E0	1.42379484811199464E-3
-1.19999999999999996E0	2.29999999999999982E0	1.42870287089438941E-3
-1.19999999999999996E0	2.34999999999999964E0	1.43334560134873445E-3
-1.19999999999999996E0	2.39999999999999947E0	1.43774695823281085E-3
-1.19999999999999996E0	2.44999999999999929E0	1.44192878485440223E-3
-1.19999999999999996E0	2.49999999999999911E0	1.44591101560251767E-3
-1.19999999999999996E0	2.54999999999999893E0	1.44971183159491757E-3
-1.19999999999999996E0	2.59999999999999876E0	1.45334780567279509E-3
-1.19999999999999996E0	2.64999999999999858E0	1.45683403707966841E-3
-1.19999999999999996E0	2.69999999999999840E0	1.46018427624002745E-3
-1.19999999999999996E0	2.74999999999999822E0	1.46341104010428325E-3
-1.19999999999999996E0	2.79999999999999805E0	1.46652571856104585E-3
-1.19999999999999996E0	2.84999999999999787E0	1.46953867243448966E-3
-1.19999999999999996E0	2.89999999999999769E0	1.47245932358989373E-3
-1.19999999999999996E0	2.94999999999999751E0	1.47529623766656104E-3
-1.19999999999999996E0	2.99999999999999734E0	1.47805719994616025E-3
-1.19999999999999996E0	3.04999999999999716E0	1.48074928484764756E-3
-1.19999999999999996E0	3.09999999999999698E0	1.48337891952062573E-3
-1.19999999999999996E0	3.14999999999999680E0	1.48595194198544589E-3
-1.19999999999999996E0	3.19999999999999662E0	1.48847365424502431E-3
-1.19999999999999996E0	3.24999999999999645E0	1.49094887076779625E-3
-1.19999999999999996E0	3.29999999999999627E0	1.49338196271629253E-3
-1.19999999999999996E0	3.34999999999999609E0	1.49577689827111548E-3
