VGS	VDS	aLookAtMe_SimWizard0..IDS.i[0, ::]
-1.39999999999999991E0	1.00000000000000000E-1	0.00000000000000000E0
-1.39999999999999991E0	2.00000000000000000E-1	0.00000000000000000E0
-1.39999999999999991E0	3.00000000000000044E-1	0.00000000000000000E0
-1.39999999999999991E0	4.00000000000000000E-1	0.00000000000000000E0
-1.39999999999999991E0	5.00000000000000000E-1	0.00000000000000000E0
-1.39999999999999991E0	6.00000000000000000E-1	0.00000000000000000E0
-1.39999999999999991E0	7.00000000000000000E-1	0.00000000000000000E0
-1.39999999999999991E0	7.99999999999999911E-1	0.00000000000000000E0
-1.39999999999999991E0	9.00000000000000000E-1	0.00000000000000000E0
-1.39999999999999991E0	0.99999999999999989E0	0.00000000000000000E0
-1.39999999999999991E0	1.09999999999999987E0	0.00000000000000000E0
-1.39999999999999991E0	1.19999999999999996E0	0.00000000000000000E0
-1.39999999999999991E0	1.30000000000000004E0	0.00000000000000000E0
-1.39999999999999991E0	1.40000000000000013E0	0.00000000000000000E0
-1.39999999999999991E0	1.50000000000000022E0	0.00000000000000000E0
-1.39999999999999991E0	1.60000000000000031E0	0.00000000000000000E0
-1.39999999999999991E0	1.70000000000000040E0	0.00000000000000000E0
-1.39999999999999991E0	1.80000000000000049E0	0.00000000000000000E0
-1.39999999999999991E0	1.90000000000000058E0	0.00000000000000000E0
-1.39999999999999991E0	2.00000000000000044E0	0.00000000000000000E0
-1.39999999999999991E0	2.10000000000000053E0	0.00000000000000000E0
-1.39999999999999991E0	2.20000000000000062E0	0.00000000000000000E0
-1.39999999999999991E0	2.30000000000000071E0	0.00000000000000000E0
-1.39999999999999991E0	2.40000000000000080E0	0.00000000000000000E0
-1.39999999999999991E0	2.50000000000000089E0	0.00000000000000000E0
-1.39999999999999991E0	2.60000000000000098E0	0.00000000000000000E0
-1.39999999999999991E0	2.70000000000000107E0	0.00000000000000000E0
-1.39999999999999991E0	2.80000000000000115E0	0.00000000000000000E0
-1.39999999999999991E0	2.90000000000000124E0	0.00000000000000000E0
-1.39999999999999991E0	3.00000000000000133E0	0.00000000000000000E0
-1.39999999999999991E0	3.10000000000000142E0	0.00000000000000000E0
-1.39999999999999991E0	3.20000000000000151E0	0.00000000000000000E0
-1.39999999999999991E0	3.30000000000000160E0	0.00000000000000000E0
-1.39999999999999991E0	3.40000000000000169E0	0.00000000000000000E0
-1.39999999999999991E0	3.50000000000000178E0	0.00000000000000000E0
-1.39999999999999991E0	3.60000000000000187E0	0.00000000000000000E0
-1.39999999999999991E0	3.70000000000000195E0	0.00000000000000000E0
-1.39999999999999991E0	3.80000000000000204E0	0.00000000000000000E0
-1.39999999999999991E0	3.90000000000000213E0	0.00000000000000000E0
-1.39999999999999991E0	4.00000000000000178E0	0.00000000000000000E0
-1.39999999999999991E0	4.10000000000000142E0	0.00000000000000000E0
-1.39999999999999991E0	4.20000000000000107E0	0.00000000000000000E0
-1.39999999999999991E0	4.30000000000000071E0	0.00000000000000000E0
-1.39999999999999991E0	4.40000000000000036E0	0.00000000000000000E0
-1.39999999999999991E0	4.50000000000000000E0	0.00000000000000000E0
-1.39999999999999991E0	4.59999999999999964E0	0.00000000000000000E0
-1.39999999999999991E0	4.69999999999999929E0	0.00000000000000000E0
-1.39999999999999991E0	4.79999999999999893E0	0.00000000000000000E0
