RFfreq	RFpower	real(S(2,2))[0, ::]
1.00000000000000000E9	-2.00000000000000000E1	0.00000000000000000E0
1.00000000000000000E9	-1.89999999999999991E1	0.00000000000000000E0
1.00000000000000000E9	-1.80000000000000004E1	0.00000000000000000E0
1.00000000000000000E9	-1.69999999999999996E1	0.00000000000000000E0
1.00000000000000000E9	-1.60000000000000009E1	0.00000000000000000E0
1.00000000000000000E9	-1.50000000000000000E1	0.00000000000000000E0
1.00000000000000000E9	-1.39999999999999991E1	0.00000000000000000E0
1.00000000000000000E9	-1.30000000000000004E1	0.00000000000000000E0
1.00000000000000000E9	-1.19999999999999996E1	0.00000000000000000E0
1.00000000000000000E9	-1.10000000000000009E1	0.00000000000000000E0
1.00000000000000000E9	-1.00000000000000000E1	0.00000000000000000E0
1.00000000000000000E9	-9.00000000000000000E0	0.00000000000000000E0
1.00000000000000000E9	-8.00000000000000000E0	0.00000000000000000E0
1.00000000000000000E9	-7.00000000000000000E0	0.00000000000000000E0
1.00000000000000000E9	-6.00000000000000000E0	0.00000000000000000E0
1.00000000000000000E9	-5.00000000000000000E0	0.00000000000000000E0
1.00000000000000000E9	-4.00000000000000000E0	0.00000000000000000E0
1.00000000000000000E9	-3.00000000000000000E0	0.00000000000000000E0
1.00000000000000000E9	-2.00000000000000000E0	0.00000000000000000E0
1.00000000000000000E9	-1.00000000000000000E0	0.00000000000000000E0
1.00000000000000000E9	0.00000000000000000E0	0.00000000000000000E0
1.00000000000000000E9	1.00000000000000000E0	0.00000000000000000E0
1.00000000000000000E9	2.00000000000000000E0	0.00000000000000000E0
1.00000000000000000E9	3.00000000000000000E0	0.00000000000000000E0
1.00000000000000000E9	4.00000000000000000E0	0.00000000000000000E0
1.00000000000000000E9	5.00000000000000000E0	0.00000000000000000E0
1.00000000000000000E9	6.00000000000000000E0	0.00000000000000000E0
1.00000000000000000E9	7.00000000000000000E0	0.00000000000000000E0
1.00000000000000000E9	8.00000000000000000E0	0.00000000000000000E0
1.00000000000000000E9	9.00000000000000000E0	0.00000000000000000E0
1.00000000000000000E9	1.00000000000000000E1	0.00000000000000000E0
1.00000000000000000E9	1.10000000000000009E1	0.00000000000000000E0
1.00000000000000000E9	1.19999999999999996E1	0.00000000000000000E0
1.00000000000000000E9	1.30000000000000004E1	0.00000000000000000E0
1.00000000000000000E9	1.39999999999999991E1	0.00000000000000000E0
1.00000000000000000E9	1.50000000000000000E1	0.00000000000000000E0
