freq	fetCharTestingSmartSim1..S(1,1)
1.00000000000000000E9	1.01079968462564307E0 / -5.92194095403889698E0
2.00000000000000000E9	9.81227220811638290E-1 / -1.23756181446488389E1
3.00000000000000000E9	1.00314973549980824E0 / -2.08979854341078308E1
4.00000000000000000E9	1.01339132512168639E0 / -2.19129009690442578E1
5.00000000000000000E9	9.41716207881098377E-1 / -3.18883934908075384E1
6.00000000000000000E9	1.12910786577994160E0 / -4.39142769798916532E1
7.00000000000000000E9	9.63955448202044352E-1 / -3.91870088649007098E1
8.00000000000000000E9	8.58340460899439961E-1 / -5.57187474378458436E1
9.00000000000000000E9	1.21500301546940470E0 / -4.99677198503086295E1
1.00000000000000000E10	8.80231090602876876E-1 / -5.78197714974616694E1
1.10000000000000009E10	8.79532226383467375E-1 / -1.07264204722812995E2
1.19999999999999996E10	1.07151310560688784E0 / -6.49580137636352628E1
1.30000000000000004E10	7.06426233741983900E-1 / -7.85826153939222216E1
1.39999999999999991E10	2.06954766314190985E0 / -9.17338536281543782E1
1.50000000000000000E10	9.40863823111502739E-1 / -8.21390906526512943E1
1.60000000000000009E10	2.90001987540217510E-1 / -1.31333513597630125E2
1.69999999999999996E10	1.45452620476229044E0 / -9.77876829132459235E1
1.80000000000000004E10	7.39700231157627996E-1 / -9.66071547813873011E1
1.89999999999999991E10	2.65868604650344187E0 / 1.54804755150925311E2
2.00000000000000000E10	1.22835075314720332E0 / -1.13200607809745701E2
2.10000000000000009E10	2.93690073078301150E-1 / -9.30246012506660058E1
2.20000000000000018E10	2.24844747602961714E0 / -1.56366664107696574E2
2.29999999999999982E10	1.04788280809998713E0 / -1.22963640948516417E2
2.39999999999999991E10	1.14970864460052247E0 / 8.69825126205454957E1
2.50000000000000000E10	1.83352972550881543E0 / -1.65458567908120702E2
2.60000000000000009E10	7.66511918541144510E-1 / -1.04108211082402025E2
2.70000000000000018E10	1.88557017154211204E0 / 1.28370920343428985E2
2.79999999999999982E10	1.84557163985431716E0 / -1.78105217295351048E2
2.89999999999999991E10	1.05997045775290633E0 / 3.36660945640602938E1
3.00000000000000000E10	1.70540768569719492E0 / 1.24161383532271108E2
3.10000000000000009E10	2.65623566837855973E0 / 1.73464697332502249E2
3.20000000000000018E10	1.29146557921615690E0 / 8.18157732652824343E1
3.29999999999999982E10	1.54334745988991995E0 / 1.07684016909841329E2
3.39999999999999991E10	5.27091186405026324E0 / 3.30189690506734390E1
3.50000000000000000E10	1.16034975821470421E0 / 8.07354278590714358E1
3.60000000000000009E10	1.44333206423281046E0 / 9.12566592852087588E1
3.70000000000000018E10	1.04506128063007830E0 / 4.33767788483703320E1
3.79999999999999982E10	1.08680300689758558E0 / 7.25879464874299174E1
3.89999999999999991E10	1.56016663946240963E0 / 7.50913136058146158E1
4.00000000000000000E10	9.01248879095545163E-1 / 5.61727319818498749E1



