

freq	mag(fetCharTestingSmartSim1..S(1,2))
1.00000000000000000E9	3.39023033856251743E-3
2.00000000000000000E9	6.44766847754565475E-3
3.00000000000000000E9	8.52736284043476545E-3
4.00000000000000000E9	9.68665540568572503E-3
5.00000000000000000E9	9.36430541622167922E-3
6.00000000000000000E9	2.66641973015177491E-3
7.00000000000000000E9	4.91975574659006210E-3
8.00000000000000000E9	1.39279209710001717E-2
9.00000000000000000E9	1.95250703792780733E-2
1.00000000000000000E10	2.38377310252339836E-2
1.10000000000000009E10	8.73232163194936462E-2
1.19999999999999996E10	5.37857006492538758E-2
1.30000000000000004E10	6.71480360862204684E-2
1.39999999999999991E10	2.28968548101452951E-1
1.50000000000000000E10	1.01297367512642089E-1
1.60000000000000009E10	1.34485593840146245E-1
1.69999999999999996E10	2.19231277474236341E-1
1.80000000000000004E10	1.29357062305534010E-1
1.89999999999999991E10	6.63003651711949615E-1
2.00000000000000000E10	2.41449195828370078E-1
2.10000000000000009E10	9.77775093117917748E-2
2.20000000000000018E10	5.49528155442281818E-1
2.29999999999999982E10	2.12078534506772254E-1
2.39999999999999991E10	3.77518795690069409E-1
2.50000000000000000E10	4.36449993079391962E-1
2.60000000000000009E10	1.11269034940173195E-1
2.70000000000000018E10	4.86752597295411604E-1
2.79999999999999982E10	4.08219636084643511E-1
2.89999999999999991E10	3.69016787895553211E-1
3.00000000000000000E10	3.60192717333558354E-1
3.10000000000000009E10	8.66163803216239359E-1
3.20000000000000018E10	2.13208322725976762E-1
3.29999999999999982E10	3.78881639610336274E-1
3.39999999999999991E10	2.27091091030221515E0
3.50000000000000000E10	1.79074136303366238E-1
3.60000000000000009E10	4.35996920235275720E-1
3.70000000000000018E10	1.18056951068221472E-1
3.79999999999999982E10	2.21650712639003267E-1
3.89999999999999991E10	4.38055368352490238E-1
4.00000000000000000E10	1.17130735385563423E-1

