

freq	phase(fetCharTestingSmartSim1..S(1,2))
1.00000000000000000E9	8.48133196447503046E1
2.00000000000000000E9	7.77255917019279252E1
3.00000000000000000E9	7.36482289442604632E1
4.00000000000000000E9	6.58544854055562467E1
5.00000000000000000E9	7.03300203932657109E1
6.00000000000000000E9	9.46932511060826343E1
7.00000000000000000E9	8.29689014408875458E1
8.00000000000000000E9	1.48414189550659414E2
9.00000000000000000E9	-1.33409525744374191E2
1.00000000000000000E10	1.67105046556473336E2
1.10000000000000009E10	1.45563429141326717E2
1.19999999999999996E10	-1.74099154795662403E2
1.30000000000000004E10	1.41399086304560972E2
1.39999999999999991E10	-1.78744544485561363E2
1.50000000000000000E10	1.54464088461513094E2
1.60000000000000009E10	9.11176476798477175E1
1.69999999999999996E10	1.55341622435297078E2
1.80000000000000004E10	1.23462685592139598E2
1.89999999999999991E10	6.74668678256538179E1
2.00000000000000000E10	1.27979359129174908E2
2.10000000000000009E10	6.62821602580820990E1
2.20000000000000018E10	9.71428066722285699E1
2.29999999999999982E10	1.12090717229932135E2
2.39999999999999991E10	-4.55676173233704329E0
2.50000000000000000E10	8.40407599714153974E1
2.60000000000000009E10	1.61035383767427787E2
2.70000000000000018E10	2.14074013939811358E1
2.79999999999999982E10	8.53199557551016241E1
2.89999999999999991E10	-8.00605667182066760E1
3.00000000000000000E10	2.86764049541736910E1
3.10000000000000009E10	9.23216781547240295E1
3.20000000000000018E10	-3.32890474513278178E1
3.29999999999999982E10	3.16834414541696541E1
3.39999999999999991E10	-8.32532542507212980E1
3.50000000000000000E10	1.32244283186890610E1
3.60000000000000009E10	9.01606689871611344E0
3.70000000000000018E10	-1.61645600180506821E2
3.79999999999999982E10	5.11504118621702908E0
3.89999999999999991E10	-3.21402626626076771E1
4.00000000000000000E10	2.67902910983114628E1

