freq	mag(fetCharTestingSmartSim1..S(2,1))
1.00000000000000000E9	6.42506744691123721E0
2.00000000000000000E9	4.55827173494602000E0
3.00000000000000000E9	5.26433480279226984E0
4.00000000000000000E9	5.90321921813646799E0
5.00000000000000000E9	4.05978256145357630E0
6.00000000000000000E9	8.97686617451990188E0
7.00000000000000000E9	4.09537988391442997E0
8.00000000000000000E9	5.07052912847146509E0
9.00000000000000000E9	7.13361882151968274E0
1.00000000000000000E10	3.61334061600449097E0
1.10000000000000009E10	1.06907497602387780E1
1.19999999999999996E10	4.23838710769275018E0
1.30000000000000004E10	4.22397933490181909E0
1.39999999999999991E10	1.29887445370677201E1
1.50000000000000000E10	3.49742664002744341E0
1.60000000000000009E10	6.92469132738388993E0
1.69999999999999996E10	5.30339661959063768E0
1.80000000000000004E10	3.80122560445914726E0
1.89999999999999991E10	1.82098920089735894E1
2.00000000000000000E10	3.90017924151359985E0
2.10000000000000009E10	5.28843176811440241E0
2.20000000000000018E10	7.38581154831960252E0
2.29999999999999982E10	4.09637671039071982E0
2.39999999999999991E10	8.46978368711890894E0
2.50000000000000000E10	4.72991414782897657E0
2.60000000000000009E10	5.80065007403667554E0
2.70000000000000018E10	5.59847223077295197E0
2.79999999999999982E10	4.97502860368254751E0
2.89999999999999991E10	7.55488385841622900E0
3.00000000000000000E10	3.52051586176611453E0
3.10000000000000009E10	8.92890611889131591E0
3.20000000000000018E10	3.74429632780898292E0
3.29999999999999982E10	2.60899919865919871E0
3.39999999999999991E10	2.23113430075197883E1
3.50000000000000000E10	1.99243086792965474E0
3.60000000000000009E10	2.13581739782829994E0
3.70000000000000018E10	3.63445693968567474E0
3.79999999999999982E10	1.10260744819945367E0
3.89999999999999991E10	2.74540652687900577E0
4.00000000000000000E10	1.35163467398513593E0


freq	mag(fetCharTestingSmartSim1..S(1,2))
1.00000000000000000E9	3.39023033856251743E-3
2.00000000000000000E9	6.44766847754565475E-3
3.00000000000000000E9	8.52736284043476545E-3
4.00000000000000000E9	9.68665540568572503E-3
5.00000000000000000E9	9.36430541622167922E-3
6.00000000000000000E9	2.66641973015177491E-3
7.00000000000000000E9	4.91975574659006210E-3
8.00000000000000000E9	1.39279209710001717E-2
9.00000000000000000E9	1.95250703792780733E-2
1.00000000000000000E10	2.38377310252339836E-2
1.10000000000000009E10	8.73232163194936462E-2
1.19999999999999996E10	5.37857006492538758E-2
1.30000000000000004E10	6.71480360862204684E-2
1.39999999999999991E10	2.28968548101452951E-1
1.50000000000000000E10	1.01297367512642089E-1
1.60000000000000009E10	1.34485593840146245E-1
1.69999999999999996E10	2.19231277474236341E-1
1.80000000000000004E10	1.29357062305534010E-1
1.89999999999999991E10	6.63003651711949615E-1
2.00000000000000000E10	2.41449195828370078E-1
2.10000000000000009E10	9.77775093117917748E-2
2.20000000000000018E10	5.49528155442281818E-1
2.29999999999999982E10	2.12078534506772254E-1
2.39999999999999991E10	3.77518795690069409E-1
2.50000000000000000E10	4.36449993079391962E-1
2.60000000000000009E10	1.11269034940173195E-1
2.70000000000000018E10	4.86752597295411604E-1
2.79999999999999982E10	4.08219636084643511E-1
2.89999999999999991E10	3.69016787895553211E-1
3.00000000000000000E10	3.60192717333558354E-1
3.10000000000000009E10	8.66163803216239359E-1
3.20000000000000018E10	2.13208322725976762E-1
3.29999999999999982E10	3.78881639610336274E-1
3.39999999999999991E10	2.27091091030221515E0
3.50000000000000000E10	1.79074136303366238E-1
3.60000000000000009E10	4.35996920235275720E-1
3.70000000000000018E10	1.18056951068221472E-1
3.79999999999999982E10	2.21650712639003267E-1
3.89999999999999991E10	4.38055368352490238E-1
4.00000000000000000E10	1.17130735385563423E-1


freq	phase(fetCharTestingSmartSim1..S(1,2))
1.00000000000000000E9	8.48133196447503046E1
2.00000000000000000E9	7.77255917019279252E1
3.00000000000000000E9	7.36482289442604632E1
4.00000000000000000E9	6.58544854055562467E1
5.00000000000000000E9	7.03300203932657109E1
6.00000000000000000E9	9.46932511060826343E1
7.00000000000000000E9	8.29689014408875458E1
8.00000000000000000E9	1.48414189550659414E2
9.00000000000000000E9	-1.33409525744374191E2
1.00000000000000000E10	1.67105046556473336E2
1.10000000000000009E10	1.45563429141326717E2
1.19999999999999996E10	-1.74099154795662403E2
1.30000000000000004E10	1.41399086304560972E2
1.39999999999999991E10	-1.78744544485561363E2
1.50000000000000000E10	1.54464088461513094E2
1.60000000000000009E10	9.11176476798477175E1
1.69999999999999996E10	1.55341622435297078E2
1.80000000000000004E10	1.23462685592139598E2
1.89999999999999991E10	6.74668678256538179E1
2.00000000000000000E10	1.27979359129174908E2
2.10000000000000009E10	6.62821602580820990E1
2.20000000000000018E10	9.71428066722285699E1
2.29999999999999982E10	1.12090717229932135E2
2.39999999999999991E10	-4.55676173233704329E0
2.50000000000000000E10	8.40407599714153974E1
2.60000000000000009E10	1.61035383767427787E2
2.70000000000000018E10	2.14074013939811358E1
2.79999999999999982E10	8.53199557551016241E1
2.89999999999999991E10	-8.00605667182066760E1
3.00000000000000000E10	2.86764049541736910E1
3.10000000000000009E10	9.23216781547240295E1
3.20000000000000018E10	-3.32890474513278178E1
3.29999999999999982E10	3.16834414541696541E1
3.39999999999999991E10	-8.32532542507212980E1
3.50000000000000000E10	1.32244283186890610E1
3.60000000000000009E10	9.01606689871611344E0
3.70000000000000018E10	-1.61645600180506821E2
3.79999999999999982E10	5.11504118621702908E0
3.89999999999999991E10	-3.21402626626076771E1
4.00000000000000000E10	2.67902910983114628E1


freq	phase(fetCharTestingSmartSim1..S(2,1))
1.00000000000000000E9	-5.09955274972920236E1
2.00000000000000000E9	9.94169971450355305E1
3.00000000000000000E9	-1.50009515959492323E2
4.00000000000000000E9	1.82899782149659385E1
5.00000000000000000E9	1.28128460877005157E2
6.00000000000000000E9	-9.64500336815854631E1
7.00000000000000000E9	5.95325720154202020E1
8.00000000000000000E9	1.52266128168524029E2
9.00000000000000000E9	-1.30800015256550228E1
1.00000000000000000E10	8.40888050345370530E1
1.10000000000000009E10	-1.73524854158340647E2
1.19999999999999996E10	2.35979663418661190E1
1.30000000000000004E10	1.03058960917099651E2
1.39999999999999991E10	-5.64120309666612574E1
1.50000000000000000E10	4.49916969245367326E1
1.60000000000000009E10	1.23030749224186997E2
1.69999999999999996E10	-1.71179777361651420E1
1.80000000000000004E10	6.22880968965048076E1
1.89999999999999991E10	-1.67933714946304558E2
2.00000000000000000E10	2.66245883661450167E0
2.10000000000000009E10	8.28523089031170556E1
2.20000000000000018E10	-8.13521785424839194E1
2.29999999999999982E10	1.94554937958531471E1
2.39999999999999991E10	1.34271624608954587E2
2.50000000000000000E10	-5.92074267218890782E1
2.60000000000000009E10	4.35797297066772238E1
2.70000000000000018E10	-1.59715153223414608E2
2.79999999999999982E10	-5.00250223235837232E1
2.89999999999999991E10	1.09188748312093198E2
3.00000000000000000E10	-1.40910937045652251E2
3.10000000000000009E10	-5.09961737924048109E1
3.20000000000000018E10	1.54212896617831197E2
3.29999999999999982E10	-1.41433512065493061E2
3.39999999999999991E10	1.52314939787210624E2
3.50000000000000000E10	1.59902850278637354E2
3.60000000000000009E10	-1.41708046577350411E2
3.70000000000000018E10	1.24110879937884455E2
3.79999999999999982E10	1.62666382284322641E2
3.89999999999999991E10	-1.40021567489639454E2
4.00000000000000000E10	1.14389365194399995E2


