freq	mag(fetCharTestingSmartSim1..S(2,1))
1.00000000000000000E9	6.42506744691123721E0
2.00000000000000000E9	4.55827173494602000E0
3.00000000000000000E9	5.26433480279226984E0
4.00000000000000000E9	5.90321921813646799E0
5.00000000000000000E9	4.05978256145357630E0
6.00000000000000000E9	8.97686617451990188E0
7.00000000000000000E9	4.09537988391442997E0
8.00000000000000000E9	5.07052912847146509E0
9.00000000000000000E9	7.13361882151968274E0
1.00000000000000000E10	3.61334061600449097E0
1.10000000000000009E10	1.06907497602387780E1
1.19999999999999996E10	4.23838710769275018E0
1.30000000000000004E10	4.22397933490181909E0
1.39999999999999991E10	1.29887445370677201E1
1.50000000000000000E10	3.49742664002744341E0
1.60000000000000009E10	6.92469132738388993E0
1.69999999999999996E10	5.30339661959063768E0
1.80000000000000004E10	3.80122560445914726E0
1.89999999999999991E10	1.82098920089735894E1
2.00000000000000000E10	3.90017924151359985E0
2.10000000000000009E10	5.28843176811440241E0
2.20000000000000018E10	7.38581154831960252E0
2.29999999999999982E10	4.09637671039071982E0
2.39999999999999991E10	8.46978368711890894E0
2.50000000000000000E10	4.72991414782897657E0
2.60000000000000009E10	5.80065007403667554E0
2.70000000000000018E10	5.59847223077295197E0
2.79999999999999982E10	4.97502860368254751E0
2.89999999999999991E10	7.55488385841622900E0
3.00000000000000000E10	3.52051586176611453E0
3.10000000000000009E10	8.92890611889131591E0
3.20000000000000018E10	3.74429632780898292E0
3.29999999999999982E10	2.60899919865919871E0
3.39999999999999991E10	2.23113430075197883E1
3.50000000000000000E10	1.99243086792965474E0
3.60000000000000009E10	2.13581739782829994E0
3.70000000000000018E10	3.63445693968567474E0
3.79999999999999982E10	1.10260744819945367E0
3.89999999999999991E10	2.74540652687900577E0
4.00000000000000000E10	1.35163467398513593E0


