
freq	phase(fetCharTestingSmartSim1..S(2,1))
1.00000000000000000E9	-5.09955274972920236E1
2.00000000000000000E9	9.94169971450355305E1
3.00000000000000000E9	-1.50009515959492323E2
4.00000000000000000E9	1.82899782149659385E1
5.00000000000000000E9	1.28128460877005157E2
6.00000000000000000E9	-9.64500336815854631E1
7.00000000000000000E9	5.95325720154202020E1
8.00000000000000000E9	1.52266128168524029E2
9.00000000000000000E9	-1.30800015256550228E1
1.00000000000000000E10	8.40888050345370530E1
1.10000000000000009E10	-1.73524854158340647E2
1.19999999999999996E10	2.35979663418661190E1
1.30000000000000004E10	1.03058960917099651E2
1.39999999999999991E10	-5.64120309666612574E1
1.50000000000000000E10	4.49916969245367326E1
1.60000000000000009E10	1.23030749224186997E2
1.69999999999999996E10	-1.71179777361651420E1
1.80000000000000004E10	6.22880968965048076E1
1.89999999999999991E10	-1.67933714946304558E2
2.00000000000000000E10	2.66245883661450167E0
2.10000000000000009E10	8.28523089031170556E1
2.20000000000000018E10	-8.13521785424839194E1
2.29999999999999982E10	1.94554937958531471E1
2.39999999999999991E10	1.34271624608954587E2
2.50000000000000000E10	-5.92074267218890782E1
2.60000000000000009E10	4.35797297066772238E1
2.70000000000000018E10	-1.59715153223414608E2
2.79999999999999982E10	-5.00250223235837232E1
2.89999999999999991E10	1.09188748312093198E2
3.00000000000000000E10	-1.40910937045652251E2
3.10000000000000009E10	-5.09961737924048109E1
3.20000000000000018E10	1.54212896617831197E2
3.29999999999999982E10	-1.41433512065493061E2
3.39999999999999991E10	1.52314939787210624E2
3.50000000000000000E10	1.59902850278637354E2
3.60000000000000009E10	-1.41708046577350411E2
3.70000000000000018E10	1.24110879937884455E2
3.79999999999999982E10	1.62666382284322641E2
3.89999999999999991E10	-1.40021567489639454E2
4.00000000000000000E10	1.14389365194399995E2
