freq	real(S(1,1))
1.00000000000000000E8	9.99624970879558816E-1
1.10000000000000009E8	9.99546227947409172E-1
1.19999999999999996E8	9.99459990937801024E-1
1.30000000000000004E8	9.99366261281945789E-1
1.39999999999999991E8	9.99265040535027005E-1
1.50000000000000000E8	9.99156330376759705E-1
1.60000000000000009E8	9.99040132610439890E-1
1.69999999999999996E8	9.98916449163577091E-1
1.80000000000000004E8	9.98785282087832726E-1
1.89999999999999991E8	9.98646633558299079E-1
2.00000000000000000E8	9.98500505874147670E-1
2.10000000000000009E8	9.98346901458341662E-1
2.20000000000000018E8	9.98185822856935800E-1
2.29999999999999982E8	9.98017272739676642E-1
2.39999999999999991E8	9.97841253900168823E-1
2.50000000000000000E8	9.97657769254614735E-1
2.60000000000000009E8	9.97466821842586526E-1
2.70000000000000018E8	9.97268414826994309E-1
2.79999999999999982E8	9.97062551493080562E-1
2.89999999999999991E8	9.96849235249619703E-1
3.00000000000000000E8	9.96628469627367863E-1
3.10000000000000009E8	9.96400258279900797E-1
3.20000000000000018E8	9.96164604983117741E-1
3.29999999999999982E8	9.95921513635362921E-1
3.39999999999999991E8	9.95670988256554601E-1
3.50000000000000000E8	9.95413032989201341E-1
3.60000000000000009E8	9.95147652096802915E-1
3.70000000000000018E8	9.94874849965203190E-1
3.79999999999999982E8	9.94594631101178095E-1
3.89999999999999991E8	9.94307000133051666E-1
4.00000000000000000E8	9.94011961809998290E-1
4.09999999999999964E8	9.93709521002023699E-1
4.20000000000000018E8	9.93399682700223785E-1
4.29999999999999982E8	9.93082452015798545E-1
4.40000000000000036E8	9.92757834180645737E-1
4.50000000000000000E8	9.92425834546010677E-1
4.59999999999999964E8	9.92086458584402031E-1
4.70000000000000018E8	9.91739711886552655E-1
4.79999999999999982E8	9.91385600163235559E-1
4.90000000000000036E8	9.91024129244954821E-1
5.00000000000000000E8	9.90655305080751880E-1
5.09999999999999964E8	9.90279133738501294E-1
5.20000000000000018E8	9.89895621404507153E-1
5.29999999999999982E8	9.89504774383965113E-1
5.40000000000000036E8	9.89106599099491568E-1
5.50000000000000000E8	9.88701102091926032E-1
5.59999999999999964E8	9.88288290019648130E-1
5.70000000000000018E8	9.87868169658492334E-1
5.79999999999999982E8	9.87440747900787841E-1
5.90000000000000036E8	9.87006031756496860E-1
6.00000000000000000E8	9.86564028351634548E-1
6.09999999999999964E8	9.86114744928343434E-1
6.20000000000000018E8	9.85658188845314953E-1
6.29999999999999982E8	9.85194367576375640E-1
6.40000000000000036E8	9.84723288711247946E-1
6.50000000000000000E8	9.84244959954212817E-1
6.59999999999999964E8	9.83759389125209793E-1
6.70000000000000018E8	9.83266584157890300E-1
6.79999999999999982E8	9.82766553100609030E-1
6.90000000000000036E8	9.82259304115521559E-1
7.00000000000000000E8	9.81744845478614003E-1
7.09999999999999964E8	9.81223185578953050E-1
7.20000000000000018E8	9.80694332918459644E-1
7.29999999999999982E8	9.80158296112017524E-1
7.40000000000000036E8	9.79615083886886495E-1
7.50000000000000000E8	9.79064705082111431E-1
7.59999999999999964E8	9.78507168648447667E-1
7.70000000000000018E8	9.77942483648196692E-1
7.79999999999999982E8	9.77370659254253304E-1
7.90000000000000036E8	9.76791704750720591E-1
8.00000000000000000E8	9.76205629531424890E-1
8.09999999999999964E8	9.75612443100692239E-1
8.19999999999999929E8	9.75012155071692099E-1
8.30000000000000071E8	9.74404775167799109E-1
8.40000000000000036E8	9.73790313220338888E-1
8.50000000000000000E8	9.73168779169674103E-1
8.59999999999999964E8	9.72540183064149133E-1
8.69999999999999929E8	9.71904535059881880E-1
8.80000000000000071E8	9.71261845419866887E-1
8.90000000000000036E8	9.70612124514974539E-1
9.00000000000000000E8	9.69955382822089973E-1
9.09999999999999964E8	9.69291630924421099E-1
9.19999999999999929E8	9.68620879510665489E-1
9.30000000000000071E8	9.67943139375477912E-1
9.40000000000000036E8	9.67258421418373260E-1
9.50000000000000000E8	9.66566736642818469E-1
9.59999999999999964E8	9.65868096157525180E-1
9.69999999999999929E8	9.65162511174332849E-1
9.80000000000000071E8	9.64449993008307693E-1
9.90000000000000036E8	9.63730553077915708E-1
1.00000000000000000E9	9.63004202904005169E-1
1.01000000000000001E9	9.62270954109299836E-1
1.02000000000000002E9	9.61530818418473210E-1
1.03000000000000003E9	9.60783807657130495E-1
1.04000000000000004E9	9.60029933751958886E-1
1.05000000000000004E9	9.59269208729869938E-1
1.06000000000000005E9	9.58501644717729562E-1
1.06999999999999984E9	9.57727253941901679E-1
1.08000000000000007E9	9.56946048727476750E-1
1.09000000000000008E9	9.56158041498740374E-1
1.10000000000000009E9	9.55363244777540643E-1
1.10999999999999988E9	9.54561671183590121E-1
1.11999999999999988E9	9.53753333433749972E-1
1.13000000000000012E9	9.52938244341824436E-1
1.14000000000000012E9	9.52116416817668387E-1
1.14999999999999991E9	9.51287863866726191E-1
1.15999999999999992E9	9.50452598590391418E-1
1.16999999999999993E9	9.49610634184525360E-1
1.18000000000000016E9	9.48761983939242981E-1
1.18999999999999995E9	9.47906661239168713E-1
1.19999999999999996E9	9.47044679561379965E-1
1.20999999999999996E9	9.46176052476748808E-1
1.21999999999999997E9	9.45300793647793114E-1
1.22999999999999998E9	9.44418916830174204E-1
1.23999999999999999E9	9.43530435869885054E-1
1.25000000000000000E9	9.42635364704160317E-1
1.26000000000000001E9	9.41733717361061906E-1
1.27000000000000002E9	9.40825507958313878E-1
