freq	real(S(1,1))
1.00000000000000000E-1	9.99999999999858780E-1
1.00000001000000016E7	9.99991019658287073E-1
2.00000000999999994E7	9.99964078979113324E-1
3.00000001000000038E7	9.99919178997494562E-1
4.00000001000000083E7	9.99856321438285534E-1
5.00000000999999994E7	9.99775508716698447E-1
6.00000000999999905E7	9.99676743937104639E-1
7.00000000999999905E7	9.99560030893217544E-1
8.00000000999999905E7	9.99425374068379568E-1
9.00000000999999905E7	9.99272778633860703E-1
1.00000000099999986E8	9.99102250448850171E-1
1.10000000099999995E8	9.98913796061528636E-1
1.20000000099999982E8	9.98707422705626691E-1
1.30000000099999991E8	9.98483138302174211E-1
1.40000000099999999E8	9.98240951457751713E-1
1.50000000099999986E8	9.97980871463627395E-1
1.60000000100000017E8	9.97702908295469015E-1
1.70000000099999982E8	9.97407072612499945E-1
1.80000000099999968E8	9.97093375755746791E-1
1.90000000099999977E8	9.96761829748209038E-1
2.00000000099999964E8	9.96412447292436987E-1
2.10000000099999928E8	9.96045241770838530E-1
2.20000000099999937E8	9.95660227243467588E-1
2.30000000099999946E8	9.95257418446936981E-1
2.40000000099999955E8	9.94836830794200111E-1
2.50000000099999919E8	9.94398480371568461E-1
2.60000000099999973E8	9.93942383938325236E-1
2.70000000099999982E8	9.93468558924899092E-1
2.80000000099999991E8	9.92977023431649108E-1
2.90000000099999955E8	9.92467796227346000E-1
3.00000000099999964E8	9.91940896746656975E-1
3.10000000099999973E8	9.91396345089734154E-1
3.20000000099999937E8	9.90834162019036313E-1
3.30000000099999991E8	9.90254368959307918E-1
3.40000000099999999E8	9.89656987993688908E-1
3.50000000100000008E8	9.89042041863715760E-1
3.60000000100000017E8	9.88409553965936993E-1
3.70000000100000026E8	9.87759548350412331E-1
3.80000000099999991E8	9.87092049718708786E-1
3.90000000099999999E8	9.86407083421929798E-1
4.00000000100000008E8	9.85704675457716206E-1
4.10000000099999973E8	9.84984852468804739E-1
4.20000000100000026E8	9.84247641740610746E-1
4.30000000099999991E8	9.83493071198733126E-1
4.40000000100000044E8	9.82721169406131345E-1
4.50000000100000008E8	9.81931965561528841E-1
4.60000000099999973E8	9.81125489496417558E-1
4.70000000100000026E8	9.80301771672360545E-1
4.80000000099999991E8	9.79460843178688734E-1
4.90000000100000044E8	9.78602735729672979E-1
5.00000000100000008E8	9.77727481661488262E-1
5.10000000099999973E8	9.76835113930779819E-1
5.20000000100000115E8	9.75925666109932699E-1
5.30000000100000079E8	9.74999172385135537E-1
5.40000000100000044E8	9.74055667554640792E-1
5.50000000100000097E8	9.73095187023222330E-1
5.60000000100000062E8	9.72117766801890681E-1
5.70000000100000115E8	9.71123443502131245E-1
5.80000000100000079E8	9.70112254335916546E-1
