frequencyGHz |S11| <S11 |S21| <S21 |S12| <S12 |S22| <S22
1.0 1.000 -11.0 5.013 170.5 0.017 79.9 0.631 -6.1
2.0 0.990 -21.5 4.947 162.8 0.032 73.8 0.622 -12.6
3.0 0.976 -32.1 4.862 154.8 0.047 69.2 0.609 -19.0
4.0 0.962 -42.6 4.759 146.8 0.061 62.5 0.590 -25.7
5.0 0.941 -53.4 4.643 138.3 0.073 56.0 0.558 -33.1
6.0 0.922 -63.6 4.479 130.6 0.084 49.9 0.535 -39.9
7.0 0.905 -73.1 4.298 123.1 0.094 43.9 0.511 -46.9
8.0 0.883 -82.0 4.112 116.0 0.103 38.2 0.490 -53.5
9.0 0.864 -90.4 3.938 109.3 0.108 32.9 0.469 -60.0
10.0 0.846 -97.9 3.753 103.1 0.114 27.6 0.450 -65.4
11.0 0.829 -105.3 3.615 97.0 0.120 23.1 0.436 -70.8
12.0 0.819 -112.4 3.472 91.3 0.124 18.8 0.422 -75.4
13.0 0.804 -120.0 3.360 85.4 0.130 14.1 0.400 -80.2
14.0 0.792 -128.0 3.274 79.7 0.134 9.6 0.379 -84.5
15.0 0.784 -136.3 3.181 74.0 0.139 5.0 0.357 -89.3
16.0 0.777 -145.0 3.116 67.7 0.144 0.6 0.330 -95.2
17.0 0.770 -155.2 3.019 61.0 0.148 -4.3 0.297 -102.0
18.0 0.773 -165.3 2.932 54.4 0.153 -9.5 0.260 -111.1
19.0 0.770 -175.2 2.813 47.7 0.155 -14.3 0.226 -121.2
20.0 0.771 175.3 2.696 41.0 0.156 -18.8 0.201 -135.4
21.0 0.780 169.2 2.466 35.3 0.150 -22.9 0.204 -156.1
22.0 0.777 163.2 2.327 30.2 0.149 -26.0 0.209 -168.6
23.0 0.793 157.9 2.206 25.0 0.147 -29.1 0.225 -177.7
24.0 0.789 154.9 2.096 20.6 0.145 -31.6 0.240 176.0
25.0 0.796 151.5 2.025 16.6 0.144 -34.3 0.260 172.7
26.0 0.804 149.6 1.928 12.1 0.145 -36.0 0.272 169.4
27.0 0.786 147.6 1.868 8.6 0.142 -37.7 0.282 168.5
28.0 0.788 146.0 1.811 5.0 0.143 -39.3 0.287 166.7
29.0 0.779 144.4 1.790 1.1 0.143 -41.4 0.293 164.7
30.0 0.777 140.9 1.758 -3.4 0.145 -44.5 0.294 162.2
31.0 0.769 137.1 1.723 -7.6 0.145 -46.8 0.292 157.2
32.0 0.770 131.7 1.683 -12.6 0.145 -51.5 0.290 151.7
33.0 0.758 126.2 1.606 -17.8 0.142 -55.4 0.287 143.1
34.0 0.764 120.0 1.541 -22.6 0.140 -61.1 0.293 134.7
35.0 0.777 114.3 1.497 -27.1 0.136 -64.6 0.311 122.2
36.0 0.799 107.4 1.414 -31.6 0.134 -70.1 0.345 114.2
37.0 0.824 101.9 1.339 -37.1 0.134 -75.6 0.384 104.6
38.0 0.856 97.2 1.277 -41.9 0.130 -82.7 0.431 98.0
39.0 0.877 92.4 1.196 -47.5 0.126 -87.6 0.478 93.3
40.0 0.884 89.0 1.100 -52.6 0.123 -92.6 0.517 91.0
